drugbank_id,half_life,half_life_unit,half_life_unit_mixed,half_life_n_records,half_life_hours
DB12329,20.0,hours,False,1,20.0
DB12332,26.0,hours,False,1,26.0
DB12364,19.0,hours,False,1,19.0
DB12366,155.0,minutes,False,1,2.5833333333333335
DB12371,30.0,hours,False,1,30.0
DB12374,30.0,hours,False,1,30.0
DB12377,1.275,hours,False,2,1.275
DB12404,37.0,minutes,False,1,0.6166666666666667
DB12442,18.2,hours,False,1,18.2
DB12455,16.2,hours,False,1,16.2
DB12457,11.0,hours,False,1,11.0
DB12466,2.0,hours,False,1,2.0
DB12471,20.0,hours,False,1,20.0
DB12483,39.1,hours,False,1,39.1
DB12489,4.8,days,False,1,115.19999999999999
DB12498,17.0,days,False,1,408.0
DB12500,77.5,hours,False,2,77.5
DB12513,57.0,hours,False,1,57.0
DB12530,18.0,days,False,1,432.0
DB12532,1.0,hours,False,1,1.0
DB12543,7.0,hours,False,1,7.0
DB12548,9.6,hours,False,1,9.6
DB12598,8.0,minutes,False,1,0.13333333333333333
DB12612,17.0,hours,False,1,17.0
DB00072,13.9,days,False,3,333.59999999999997
DB12668,4.2,minutes,False,1,0.07
DB12674,51.0,hours,False,1,51.0
DB12688,1.4,hours,False,1,1.4
DB12713,21.0,hours,False,1,21.0
DB12783,1.5,hours,False,1,1.5
DB12808,2.0,hours,False,1,2.0
DB00287,31.0,minutes,False,2,0.5166666666666666
DB12834,17.0,hours,False,1,17.0
DB00656,7.475,hours,False,4,7.475
DB12839,53.5,hours,False,2,53.5
DB12865,3.0,days,False,1,72.0
DB12872,21.9,hours,False,1,21.9
DB12874,108.5,hours,False,2,108.5
DB12887,3.1,hours,False,1,3.1
DB12893,16.0,hours,False,1,16.0
DB12909,6.6,days,False,1,158.39999999999998
DB12917,23.0,days,False,1,552.0
DB12941,20.0,hours,False,1,20.0
DB12965,0.5,days,False,2,12.0
DB12978,26.6,hours,False,1,26.6
DB13007,2.9,days,False,2,69.6
DB13025,2.9,hours,False,1,2.9
DB13055,138.0,days,False,1,3312.0
DB13074,4.1,hours,False,1,4.1
DB13092,5.6,hours,False,1,5.6
DB13133,15.3,hours,False,2,15.3
DB13139,3.3,hours,False,1,3.3
DB13140,19.0,days,False,1,456.0
DB13144,1.75,hours,False,4,1.75
DB13146,109.7,minutes,False,1,1.8283333333333334
DB13148,30.3,hours,False,1,30.3
DB13150,5.0,hours,False,1,5.0
DB13152,18.8,hours,False,1,18.8
DB13155,20.0,hours,False,1,20.0
DB13156,50.0,minutes,False,1,0.8333333333333334
DB13161,99.0,days,False,2,2376.0
DB13164,8.0,hours,False,1,8.0
DB13165,0.455,hours,False,1,0.455
DB13167,1.5,hours,False,1,1.5
DB13174,4.0,hours,False,1,4.0
DB13192,14.8,hours,False,1,14.8
DB00685,9.25,hours,False,2,9.25
DB13209,5.0,days,False,1,120.0
DB13293,0.5,hours,False,1,0.5
DB13310,165.0,hours,False,1,165.0
DB13444,1.1,hours,False,1,1.1
DB13456,54.0,minutes,False,1,0.9
DB13501,3.5,hours,False,1,3.5
DB13609,17.0,hours,False,1,17.0
DB14738,19.0,hours,False,1,19.0
DB13729,3.8,hours,False,1,3.8
DB13751,3.5,hours,False,1,3.5
DB13761,123.77,minutes,False,1,2.0628333333333333
DB13783,4.5,hours,False,1,4.5
DB13848,1.0,hours,False,1,1.0
DB13853,3.78,hours,False,1,3.78
DB13867,14.657142857142857,hours,False,7,14.657142857142857
DB13872,11.0,hours,False,1,11.0
DB13873,20.0,hours,False,1,20.0
DB13874,137.0,hours,False,1,137.0
DB13878,13.0,hours,False,1,13.0
DB13879,6.0,hours,False,1,6.0
DB00577,2.5,hours,False,1,2.5
DB13884,92.0,hours,False,1,92.0
DB13886,16.0,days,False,2,384.0
DB13891,15.0,hours,False,1,15.0
DB13892,12.0,hours,False,1,12.0
DB13893,12.0,hours,False,1,12.0
DB13894,12.0,hours,False,1,12.0
DB13896,84.0,days,False,1,2016.0
DB13897,7.535,hours,False,2,7.535
DB13898,37.6,hours,False,2,37.6
DB13899,13.2,hours,False,2,13.2
DB13900,9.42,hours,False,2,9.42
DB13901,16.15,hours,False,2,16.15
DB13902,7.64,hours,False,2,7.64
DB13903,45.650000000000006,hours,False,2,45.650000000000006
DB13905,159.0,hours,False,1,159.0
DB13909,21.0,days,False,1,504.0
DB13923,27.8,days,False,1,667.2
DB13925,68.0,minutes,False,1,1.1333333333333333
DB13928,168.0,hours,False,1,168.0
DB00313,10.0,hours,False,3,10.0
DB13941,24.0,days,False,1,576.0
DB13943,8.0,days,False,1,192.0
DB13944,7.0,days,False,1,168.0
DB13946,12.975,days,True,4,455.9416666666666
DB13959,14.0,minutes,False,2,0.23333333333333334
DB13961,41.5,hours,False,2,41.5
DB13967,24.0,hours,False,1,24.0
DB13975,2.0,hours,False,1,2.0
DB13979,23.0,hours,False,1,23.0
DB13985,37.25,hours,False,2,37.25
DB13995,1.48,hours,False,1,1.48
DB13997,79.1,hours,False,1,79.1
DB13998,8.4,hours,False,1,8.4
DB13999,11.2,hours,False,1,11.2
DB14003,48.0,hours,False,1,48.0
DB14004,23.0,days,False,1,552.0
DB14006,2.0,hours,False,1,2.0
DB14007,18.5,minutes,False,1,0.30833333333333335
DB14009,3.15,days,False,2,75.6
DB14011,24.0,hours,False,1,24.0
DB14012,19.0,days,False,1,456.0
DB14018,21.35,hours,False,1,21.35
DB14019,80.0,hours,False,1,80.0
DB14033,10.0,hours,False,1,10.0
DB14040,27.0,days,False,1,648.0
DB14041,31.0,days,False,1,744.0
DB14112,26.0,days,False,1,624.0
DB14114,133.0,hours,False,1,133.0
DB00177,6.0,hours,False,1,6.0
DB14126,32.0,hours,False,1,32.0
DB14146,4.53,hours,False,1,4.53
DB14183,12.0,minutes,False,1,0.2
DB14185,29.2,days,False,1,700.8
DB14187,3.3,hours,False,1,3.3
DB14189,0.55,hours,False,1,0.55
DB14487,280.0,days,False,1,6720.0
DB14500,1.6,hours,False,1,1.6
DB14505,13.0,hours,False,1,13.0
DB14509,12.5,hours,False,2,12.5
DB14512,5.4,hours,False,2,5.4
DB14513,521.0,days,True,2,1004.0
DB14526,15.0,hours,False,1,15.0
DB14533,4.5,days,False,1,108.0
DB14538,6.0,hours,False,1,6.0
DB14539,6.0,hours,False,1,6.0
DB14540,6.0,hours,False,1,6.0
DB14541,6.0,hours,False,1,6.0
DB14542,6.0,hours,False,1,6.0
DB14543,6.0,hours,False,1,6.0
DB14544,6.0,hours,False,1,6.0
DB14562,5.0,hours,False,1,5.0
DB14568,95.0,hours,False,3,95.0
DB14569,12.0,hours,False,1,12.0
DB14580,5.0,days,False,1,120.0
DB14582,3.2,days,False,1,76.80000000000001
DB14583,4.5,hours,False,1,4.5
DB14597,13.8,days,False,1,331.20000000000005
DB14598,20.0,minutes,False,1,0.3333333333333333
DB14631,2.0,hours,False,1,2.0
DB14638,3.0,hours,False,1,3.0
DB14639,14.0,days,False,1,336.0
DB14669,12.47,hours,False,1,12.47
DB14700,18.6,hours,False,1,18.6
DB14707,20.3,days,False,1,487.20000000000005
DB14713,32.3,days,False,1,775.1999999999999
DB14723,2.9,hours,False,1,2.9
DB14724,12.25,days,False,2,294.0
DB14730,16.1,days,False,1,386.40000000000003
DB14731,0.7,hours,False,1,0.7
DB00512,6.75,days,True,2,93.0
DB14740,2.0,minutes,False,1,0.03333333333333333
DB00781,21.0,hours,False,3,21.0
DB14751,13.0,hours,False,1,13.0
DB14754,6.366666666666667,hours,False,3,6.366666666666667
DB14761,1.0,hours,False,1,1.0
DB14762,24.5,days,False,2,588.0
DB14766,30.0,hours,False,1,30.0
DB14782,4.0,weeks,False,1,672.0
DB14783,1.0,hours,False,1,1.0
DB14805,3.47,hours,False,1,3.47
DB14845,7.0,hours,False,1,7.0
DB14851,26.2,days,False,1,628.8
DB14864,105.5,hours,False,2,105.5
DB14879,2.0,hours,False,1,2.0
DB14881,1.3,hours,False,1,1.3
DB14895,45.4,hours,False,2,45.4
DB14901,9.0,hours,False,1,9.0
DB14914,17.0,minutes,False,1,0.2833333333333333
DB14921,14.5,days,False,2,348.0
DB14924,1.3,hours,False,1,1.3
DB14939,2.0,hours,False,1,2.0
DB00661,8.66,hours,True,5,8.266666666666667
DB14962,5.8,days,False,1,139.2
DB14967,19.2,days,False,1,460.79999999999995
DB14984,3.5,hours,False,1,3.5
DB14989,91.0,hours,False,1,91.0
DB14992,53.0,hours,False,1,53.0
DB01080,8.125,hours,False,4,8.125
DB14999,8.0,minutes,False,1,0.13333333333333333
DB15001,36.4,hours,False,1,36.4
DB15005,2.5666666666666664,hours,False,3,2.5666666666666664
DB15011,97.6,hours,False,1,97.6
DB15031,8.0,hours,False,1,8.0
DB15035,2.0,hours,False,1,2.0
DB15044,17.0,days,False,1,408.0
DB15066,6.0,hours,False,1,6.0
DB15067,2.0,weeks,False,1,336.0
DB15090,26.0,days,False,1,624.0
DB15091,8.0,hours,False,1,8.0
DB15093,2.0,days,False,1,48.0
DB15102,15.4,hours,False,1,15.4
DB15119,7.0,days,False,1,168.0
DB15133,32.0,hours,False,1,32.0
